"year","month","monthly_SP500","oil_price","date"
2016,"Jan",1918.59789473684,27.02,2016-01-01
2016,"Feb",1904.4185,25.52,2016-02-01
2016,"Mar",2021.95409090909,31.87,2016-03-01
2016,"Apr",2075.53523809524,35.59,2016-04-01
2016,"May",2065.55095238095,41.02,2016-05-01
2016,"Jun",2083.89136363636,43.96,2016-06-01
2016,"Jul",2148.902,40.71,2016-07-01
2016,"Aug",2177.48217391304,40.46,2016-08-01
2016,"Sep",2157.69095238095,40.55,2016-09-01
2016,"Oct",2143.02095238095,45,2016-10-01
2016,"Nov",2164.98571428571,41.65,2016-11-01
2016,"Dec",2246.62904761905,47.12,2016-12-01
2017,"Jan",2275.116,48.19,2017-01-01
2017,"Feb",2329.91052631579,49.41,2017-02-01
2017,"Mar",2366.82217391304,46.39,2017-03-01
2017,"Apr",2359.30947368421,47.23,2017-04-01
2017,"May",2395.34590909091,45.19,2017-05-01
2017,"Jun",2433.98545454545,42.17,2017-06-01
2017,"Jul",2454.1025,43.42,2017-07-01
2017,"Aug",2456.22304347826,44.96,2017-08-01
2017,"Sep",2492.841,47.17,2017-09-01
2017,"Oct",2556.99727272727,49.12,2017-10-01
2017,"Nov",2593.60571428571,55.19,2017-11-01
2017,"Dec",2664.3405,56.98,2017-12-01
2018,"Jan",2789.80380952381,62.25,2018-01-01
2018,"Feb",2705.15526315789,61.18,2018-02-01
2018,"Mar",2702.77380952381,60.68,2018-03-01
2018,"Apr",2653.62523809524,63.5,2018-04-01
2018,"May",2701.49363636364,66.16,2018-05-01
2018,"Jun",2754.35285714286,62.8,2018-06-01
2018,"Jul",2793.64333333333,67,2018-07-01
2018,"Aug",2857.82043478261,62.64,2018-08-01
2018,"Sep",2901.50052631579,63.54,2018-09-01
2018,"Oct",2785.4647826087,65.18,2018-10-01
2018,"Nov",2723.22952380952,55.65,2018-11-01
2018,"Dec",2567.30736842105,47.63,2018-12-01
2019,"Jan",2607.39,48,2019-01-01
2019,"Feb",2754.86421052632,52.6,2019-02-01
2019,"Mar",2803.98380952381,57.46,2019-03-01
2019,"Apr",2903.8,63,2019-04-01
2019,"May",2854.70590909091,59.73,2019-05-01
2019,"Jun",2890.166,54.34,2019-06-01
2019,"Jul",2996.11363636364,56.47,2019-07-01
2019,"Aug",2897.49818181818,53.63,2019-08-01
2019,"Sep",2982.156,55.14,2019-09-01
2019,"Oct",2977.6752173913,53.14,2019-10-01
2019,"Nov",3104.9045,54.96,2019-11-01
2019,"Dec",3176.74952380952,58.41,2019-12-01
2020,"Jan",3278.20285714286,56.55,2020-01-01
2020,"Feb",3277.31421052632,49.66,2020-02-01
2020,"Mar",2652.39363636364,31.01,2020-03-01
2020,"Apr",2761.97523809524,15.18,2020-04-01
2020,"May",2919.615,18.02,2020-05-01
2020,"Jun",3104.66090909091,33.81,2020-06-01
2020,"Jul",3207.61909090909,37.44,2020-07-01
2020,"Aug",3391.71,39.37,2020-08-01
2020,"Sep",3365.51666666667,36.82,2020-09-01
2020,"Oct",3418.70136363636,36.39,2020-10-01
2020,"Nov",3548.9925,38.25,2020-11-01
2020,"Dec",3695.31,43.92,2020-12-01
2021,"Jan",3793.74842105263,49.47,2021-01-01
2021,"Feb",3883.43210526316,56.44,2021-02-01
2021,"Mar",3910.50826086957,60.43,2021-03-01
2021,"Apr",4141.17619047619,59.87,2021-04-01
2021,"May",4167.8495,62.8,2021-05-01
2021,"Jun",4238.48954545455,68.58,2021-06-01
2021,"Jul",4363.71285714286,70.12,2021-07-01
2021,"Aug",4454.20636363636,65.68,2021-08-01
2021,"Sep",4445.54333333333,69.09,2021-09-01
2021,"Oct",4460.70714285714,78.51,2021-10-01
2021,"Nov",4667.38666666667,76.45,2021-11-01
2021,"Dec",4674.77272727273,70.56,2021-12-01
2022,"Jan",4573.8155,80.33,2022-01-01
2022,"Feb",4435.98052631579,89.41,2022-02-01
2022,"Mar",4391.2652173913,107.07,2022-03-01
2022,"Apr",4391.296,103.32,2022-04-01
2022,"May",4040.36,108.29,2022-05-01
2022,"Jun",3898.94666666667,113.77,2022-06-01
2022,"Jul",3911.7295,100.84,2022-07-01
2022,"Aug",4158.56304347826,93.76,2022-08-01
2022,"Sep",3850.52047619048,84.62,2022-09-01
2022,"Oct",3726.05095238095,86.61,2022-10-01
2022,"Nov",3917.48857142857,84.43,2022-11-01
2022,"Dec",3912.38095238095,76.45,2022-12-01
2023,"Jan",3960.6565,75.71,2023-01-01
